account,externalReferenceId
86100034,CI76A4373F4A444A2FAC
97730287,CI4955544A931B471683
97662981,CI0B4CF8C4EABA418FB8
97730354,CIC97A084C77384BB69F
86100008,CI1E5B5990BB7A477E9B
97730615,CIA9FD449A3E514CF681
97730112,CIDDAE50F0C469452A90
97728629,CI282C1A85DFFA4C579C
97730238,CIDAE9ABA190134DB4A1
97730460,CIE400F8490B244314A3
86100025,CID2534ADF0B114E91AC
97730336,CICF0E76740C0D4C7AAF
97730002,CI418BDBDA4CCA456B91
97730243,CIA0866ABD9EF0459CB5
86100026,CI26A8C60BA5054F2F94
97730005,CID0CBE466B80044A4AE
97730246,CI109F47BB124E4F099C
86100027,CICCA2D297DFE845EE99
97730125,CIEBF6350E5DFA4D5993
97730667,CI156755BF936642A0A7
97730022,CI106ABFE4EB7C45E9B1
97730125,CI1F2621D2F9B84D98B9
97730030,CIC46036E35D07452C8A
97730343,CIFC710916A4914BE9B5
97730670,CI4A02D6B6D1D140799F
97730466,CID4EA9B8DD5734FF2B3
97730463,CI6D6673F5082742CDAE
86100030,CI6EC4304782CC415BB2
97730129,CI1F957C93C2FF4E9D94
97730344,CIB20790E839274597A4
86100001,CI5111C54802AC4130B0
97730057,CI2C5615038F524C8F9F
97730271,CIEABC51EDAFCA48D09F
97730468,CI5F6FE6C8E4D049C3AD
86100031,CIAC6D9E08888A48B289
86100028,CI6619E8132C3E409EAD
97730054,CI6660EEC78A9A499AB3
86100002,CI3CA9D64A38AC4E1BAD
97730143,CI687A790BCFFD4C5BB2
97730058,CI1E3E7C67E2C64D3798
97730274,CIAFE98FF918AD4A20A5
97730470,CIBFC09A1268BB4EC6BE
86100032,CI40B124122F124408AB
97730151,CI6D6173487E61433E94
97730059,CI01C53259B944423886
97730475,CI3EBD55983BB8433BB9
97730342,CI7E9CF07248F741308E
97730347,CIF9DE9110366040ACAF
86100004,CIC154C828948F425E8A
97730345,CI7013AD5F8FAF4C2F8D
97730060,CIA30499B96BAA49E9BB
86100034,CIA85EEF4DAEA844EC8F
97730158,CIFE4CD6FEB5D1407E9B
97730348,CICE0F75D69CC841008A
86100005,CI0A7F4107787A4AC49A
97730285,CIE4A7590F1FA24E1987
97730063,CI21C9B8828CD8414989
97730286,CID7D1D34CC1FE4DA6AE
86100033,CI77DB99218A4346FE96
97730481,CI235DC7D28D354051AA
97730337,CI777B410281D54B5CBA
