account,externalReferenceId
97730172,CI4832731D4A174F948B
97643309,CI042ED303AB5C41C39C
86100009,CI5A5D0E155C154F999B
97730356,CIA9445EF7605B4EABAA
97730294,CI1CB2380694754236A5
97732048,CIFD9789A7E9DE41B4A5
97730487,CI6F979DDBF63E44F690
97730069,CI4F9F12DADFBD4EDEB2
97730379,CIBFD0869CD9A2449BBC
86100010,CI4442AC3706D0471E87
97730071,CIDAC445E036824E0CA9
97745795,CIE171866F145C43709E
97730176,CIC390D316A76740029E
97730174,CI45F19C06F8614ECA90
97730396,CID03BBBF5FF0B47AAA1
86100011,CIBD64C7197E114BCCA0
97730296,CIFD82CB6247EB43DDA4
38832157,CI08B806134226430FB6
97730177,CI241FF82A6F384FEAAB
97730076,CIAE9A4C46C4524054BF
97730403,CIE71402CB3BF7484781
86100013,CIF99C54A48D344BA1BA
97730078,CIF590A296AAF54CD293
97730581,CID9AC8EACCE3242F8BD
97730405,CID36E620D3EE34C35A9
97730083,CIFCF5DA8EA0B7438DA0
97730308,CI01D0935778194D5082
97730301,CI6E51E66946E34FA2B2
97610919,CI2E5F9AC739C040B182
97730187,CI47D8ABAA6AE64354AD
86100015,CIF1576B38461F4E0799
97730087,CIF7A6BA2775CA4AFD98
97730583,CICB7B384935A14244BE
97730193,CI19858C043D0B424081
97730411,CIAF964C2A662B486AB3
86100016,CI3932812970AB415D80
97730584,CIAA724E25A2D1431ABA
97728628,CIA0ABF0EA6FAF4B83BC
97730412,CI11A3BD6F3A0C407390
86100017,CI4FB3014B431B4857B7
97730091,CI0127837464F14625AC
97730315,CIC9897F1B9D984754B2
97730590,CIE3AC6B3CA2244395A0
97728746,CI3901F82B1C2942ABA8
86100018,CID2D68BC9319B49B292
97730101,CIF9EC77ED95CA456580
97730316,CI6383DB270874433795
97730595,CIEE3FBB261BF642AE97
97730224,CI1E6E92FF062B494DA5
97730416,CI376969D55BD149D2B0
86100019,CI501C30735FD44465A2
97730321,CI64E2B9875E144236B9
97730602,CI2DD146F327694F3791
86100020,CIF615CC33A40A49639C
97730106,CI153F3BA858544E48A2
97730605,CIBBA043F5E3C44E98B0
97740936,CI3C9C3365DD1F4C079B
97730228,CI642F1653B4B24A228D
97730437,CI1B56A09C5225496EBE
97730107,CI66966E14C53A4B5CBC
97730324,CIBF19991496F1466699
97730075,CI79F73E39F2B347879B
97730606,CI3F173B75380E4BD094
97730233,CIC7F6B75783AE4B7E9C
97730326,CI5FCA8FD6E6AF497588
97730607,CI37897A7D426C4553BF
97728634,CIBCA5411DDBB74523B4
97730110,CI65DEC6181E2B436081
97730234,CIF0BECB240721423A80
97730451,CIE2CF1885A9D34B74A8
97730445,CI676F8A0621B94AEBA7
86100023,CI1FFA1C4E6D134958A7
97730111,CI1371D8F57FF543BBAF
97728638,CICC0CC86999164E8CA1
97730331,CI625B59D9A2E949BEB9
97730235,CID7A3B76142F5407D8A
97730452,CI13BF01530E314E2EA6
86100024,CIA6B5534E3D594A848F
97730615,CI03F9B01D9A41416694
97728629,CID836646E732D46DFA8
97730460,CI28EDAB44C7FC44A7A9
86100025,CI48C30F9C220A4349A8
97730114,CI6A02C4D795BA4C328D
97730336,CIDFBE09F1EEFA453F8F
97730616,CI21F9B05AE53D479199
97730243,CIE6B3CBAB5FC74323BF
97730461,CI4E613464EE3B4B7D88
86100026,CI0D28AF97EE874678A8
97730162,CI4243289D9EAE4854B4
86100006,CIEACA2402D60D4E22A0
97730063,CI20EF2871E8954C46B7
97730481,CI25991A6E4D604EE99C
97730286,CI6986BE8BAB064DF7BD
86100036,CIF13EFE6A1D8046A5A4
97730353,CIB483E214E7E046D1B1
86100007,CI141AB328EE3E4639B7
97730064,CI0339E32C0CED44C5A4
97730287,CIA37A11DAD4F640EC8E
97730482,CIFFF73A5503104B6484
97730354,CI0A9E461AD1C949AFA7
97730290,CIB75B8A988F1145B0AD
97730484,CIF909648FDDDB4EA2AA
97730356,CIE9EA073F60E348CBA1
86100009,CIDD9AFAAEF244412BBC
97730069,CI1F1AC936612B43EF8E
97730294,CI24DAB3C1A23B43AFB7
97662981,CI5EB35B3E7DC947A789
97730174,CI111F375F850A4CB89C
97730379,CI47DF7E89A42547C6B1
97730071,CI206FEFA3EC334E72AE
97730295,CI54B0FBDB19B74F23B0
97730488,CID23F87AC20AC4AC7A3
97730176,CI416F1FAF25E74AD99A
97730402,CIF8D0227A9136402782
86100011,CIFF10B8F425164AC39E
97730296,CID7F661D47347435D8A
97730570,CIC473FE38A1BF4EFA9E
38832157,CIAD40234363AA425F9B
97643309,CI60ECC5832C644990A3
97730076,CIE30560305CF24696A8
97730301,CID5790617801E49728C
97730578,CI33AAE9F2A5EE46B6AA
97717286,CIEAD4BDD3960E4E178E
97730179,CIA1021E47943248958A
97730403,CI0B3FA33F64AA488586
86100010,CI68EBD55CD57F452EA5
86100013,CIC0FE956599DF4A7EA1
97730305,CID8E7E4DDA63448D79D
97736044,CIFF38E7808DA24687B7
97730185,CI2910AFB0FC204A3AB9
97730172,CI7CB9D68C2D68482DB0
86100014,CI151F96014E2E421990
97730308,CIC53D74914F5F476FB3
97730582,CI381BB8A55F9E43129F
97730187,CI6C85F0A843B745DBBD
97610919,CI7F813B129FF54239AA
97730406,CID47D5605D27F473C80
86100015,CIF84BEAFC7D9142EE80
