accountNumber,adpNumber,transactionDirection
1002092052,8CZVJB0,Buy
1002092151,8CZVJB0,Sell
1002092250,8CZVJB0,Buy
1002093019,8CZVJB0,Sell
1002093118,8CZVJB0,Buy
1002093258,8CZVJB0,Sell
1002093357,8CZVJB0,Buy
1002093456,8CZVJB0,Sell
1002093753,8CZVJB0,Buy
1002094256,8CZVJB0,Sell
1002094355,8CZVJB0,Buy
1002094553,8CZVJB0,Sell
1002094652,8CZVJB0,Buy
1002094751,8CZVJB0,Sell
1002095311,8CZVJB0,Buy
1002095410,8CZVJB0,Sell
1002095659,8CZVJB0,Buy
1002095758,8CZVJB0,Sell
1002096251,8CZVJB0,Buy
1002096350,8CZVJB0,Sell
1002096996,8CZVJB0,Buy
1002097515,8CZVJB0,Sell
1002098018,8CZVJB0,Buy
1002098158,8CZVJB0,Sell
1002098216,8CZVJB0,Buy
1002098455,8CZVJB0,Sell
1002098851,8CZVJB0,Buy
1002099057,8CZVJB0,Sell
1002099156,8CZVJB0,Buy
1002099453,8CZVJB0,Sell
1002099719,8CZVJB0,Buy
1002100210,8CZVJB0,Sell
1002102455,8CZVJB0,Buy
1002102554,8CZVJB0,Sell
1002103057,8CZVJB0,Buy
1002103115,8CZVJB0,Sell
1002103750,8CZVJB0,Buy
1002103818,8CZVJB0,Sell
1002104352,8CZVJB0,Buy
1002104410,8CZVJB0,Sell
1002104550,8CZVJB0,Buy
1002104659,8CZVJB0,Sell
1002104956,8CZVJB0,Buy
1002105052,8CZVJB0,Sell
1002105110,8CZVJB0,Buy
1002105250,8CZVJB0,Sell
1002105854,8CZVJB0,Buy
1002106118,8CZVJB0,Sell
1002106217,8CZVJB0,Buy
1002106357,8CZVJB0,Sell
1002106555,8CZVJB0,Buy
1002106613,8CZVJB0,Sell
1002106753,8CZVJB0,Buy
1002106951,8CZVJB0,Sell
1002107058,8CZVJB0,Buy
1002107256,8CZVJB0,Sell
1002107355,8CZVJB0,Buy
1002107850,8CZVJB0,Sell
1002108155,8CZVJB0,Buy
1002108254,8CZVJB0,Sell
1002108858,8CZVJB0,Buy
1002109153,8CZVJB0,Sell
1002109211,8CZVJB0,Buy
1002109450,8CZVJB0,Sell
1002110110,8CZVJB0,Buy
1002110219,8CZVJB0,Sell
1002110557,8CZVJB0,Buy
1002110656,8CZVJB0,Sell
1002111258,8CZVJB0,Buy
1002111316,8CZVJB0,Sell
1002111555,8CZVJB0,Buy
1002112017,8CZVJB0,Sell
1002112314,8CZVJB0,Buy
1002113353,8CZVJB0,Sell
1002114450,8CZVJB0,Buy
1002114559,8CZVJB0,Sell
1002115259,8CZVJB0,Buy
1002115911,8CZVJB0,Sell
1002116257,8CZVJB0,Buy
1002116356,8CZVJB0,Sell
1002116851,8CZVJB0,Buy
1002117156,8CZVJB0,Sell
1002117651,8CZVJB0,Buy
1002117859,8CZVJB0,Sell
1002118154,8CZVJB0,Buy
1002118451,8CZVJB0,Sell
1002118857,8CZVJB0,Buy
1002119053,8CZVJB0,Sell
1002119558,8CZVJB0,Buy
1002119954,8CZVJB0,Sell
1002120457,8CZVJB0,Buy
1002120853,8CZVJB0,Sell
1002121612,8CZVJB0,Buy
1002122255,8CZVJB0,Sell
1002122651,8CZVJB0,Buy
1002123055,8CZVJB0,Sell
1002123550,8CZVJB0,Buy
1002124657,8CZVJB0,Sell
1002125217,8CZVJB0,Buy
1002125555,8CZVJB0,Sell
1002126413,8CZVJB0,Buy
1002127957,8CZVJB0,Sell
1002128054,8CZVJB0,Buy
1002128450,8CZVJB0,Sell
1002130555,8CZVJB0,Buy
1002132056,8CZVJB0,Sell
1002132114,8CZVJB0,Buy
1002132452,8CZVJB0,Sell
1002134359,8CZVJB0,Buy
1002134458,8CZVJB0,Sell
1002134714,8CZVJB0,Buy
1002135455,8CZVJB0,Sell
1002136115,8CZVJB0,Buy
1002136313,8CZVJB0,Sell
1002137253,8CZVJB0,Buy
1002139556,8CZVJB0,Sell
1002139614,8CZVJB0,Buy
1002139713,8CZVJB0,Sell
1002139812,8CZVJB0,Buy
1002139911,8CZVJB0,Sell
1002140018,8CZVJB0,Buy
1002140117,8CZVJB0,Sell
1002140216,8CZVJB0,Buy
1002140315,8CZVJB0,Sell
1002140414,8CZVJB0,Buy
1002140513,8CZVJB0,Sell
1002140612,8CZVJB0,Buy
1002141016,8CZVJB0,Sell
1002141214,8CZVJB0,Buy
1002142055,8CZVJB0,Sell
1002142717,8CZVJB0,Buy
1002142915,8CZVJB0,Sell
1002143012,8CZVJB0,Buy
1002143913,8CZVJB0,Sell
1002144010,8CZVJB0,Buy
1002144713,8CZVJB0,Sell
1002145314,8CZVJB0,Buy
1002145710,8CZVJB0,Sell
1002145918,8CZVJB0,Buy
1002146015,8CZVJB0,Sell
1002146510,8CZVJB0,Buy
1002146650,8CZVJB0,Sell
1002146759,8CZVJB0,Buy
1002147310,8CZVJB0,Sell
1002147518,8CZVJB0,Buy
1002148011,8CZVJB0,Sell
1002148318,8CZVJB0,Buy
1002148615,8CZVJB0,Sell
1002148813,8CZVJB0,Buy
1002149019,8CZVJB0,Sell
