account,externalReferenceId
38832157,CI0358FF3F76F542B49A
97730177,CI6B599A804F894FDFA4
97730402,CI43E561AB8A3A48E2A6
97730296,CI88F5F64DDC084BC39E
86100012,CIA948357111CB447595
97730076,CI112A3C98668E45D790
97730301,CIC9A4CFAC280C42049B
97730578,CI7283E0E6C66047C187
97717286,CI95B7F4523E644D07BC
97730179,CI29E503CD9A0C48E081
97730403,CI9AED2F3706C04E5E9C
86100013,CI58E7D631308844F098
97730078,CI9302244577F9480696
97730305,CIE3547AB2886C4D0C92
97730581,CI22F8F13C4E8C45C3A9
97736044,CI8806E8E3F13C476E88
97730185,CI687C896782614172A1
97730405,CI29788F62EF27484A8C
86100014,CI48F41A6DC0D94CAFA1
97730083,CI2B47291D41194DD6B2
97730308,CIA0991E5ED9814F82B5
97730582,CICD1B9C6A9F8E43288A
97610919,CI1691034EEAE8423499
97730187,CIC10558D965BC481B99
97730406,CI733E7FB7726A49E2A3
86100015,CI78FFDC19CA8F4CC9A0
97730087,CI100CAC989D084546BE
97730311,CI454630D6B6754A6C98
97730583,CI20B6583E6CE24DEB94
97728628,CI4EBB139671C24EEE87
97730193,CICD4104AE5FF5430E86
97730411,CI2B4BF605738F464BA5
86100016,CIBA253F6AF0DE473BB4
97730088,CIE12710E52FD041B5A2
97730314,CI607853E1AD2F4C9EAB
97730584,CI37DB0D546A854CCC85
97728628,CI553D79D26F924D93A9
97730200,CI075D8F795EF54014A6
97730412,CI2D98A2D3A0204BFAB0
86100018,CIDAC7CCFF3E374815B1
97730091,CID243A4C11D2E4E2CA6
97730315,CI66B0F47EDB3F4DB184
97730590,CID0A964FF473548D984
97728637,CIBD87E46E295447C0BE
97730222,CIB5BC844C1C7F425582
97730415,CI495D583C1F59457C9B
86100018,CIF88FF5415843463384
97730101,CI54F68C13285B4F2C99
97730316,CI0671E0DB06CA45279D
97730595,CI6FFAC150F7E44B20AD
97728637,CIBE58C1E15CD54CF9B1
97730224,CI5D04EBEEDDD54ECF94
97730416,CI711B0E8E05EB4C8989
97730105,CI539D8F5C779146AE85
86100019,CI8F60C24417B04833AE
97730321,CIF9C5844F48494100BA
97730602,CI28ADFD8532574C888F
97728627,CIC897B42D9201412ABD
97730226,CIC023EE850BC7421D89
97730420,CIACDF2108F4C64A50B0
86100020,CI7CE441A772B84805A9
97730106,CICC491CBB647244B388
97730323,CI575C7C96EA7948C79C
97730605,CI45BFAEAE37F74D8B89
97740936,CI35EF03F0E4994AC2AF
97730228,CIAC84CFBFF40647C49B
97730437,CI658E7BABC0DC40C8A9
86100021,CI20BE2B495D4F47A183
97730107,CI24B6171AEE564C4C85
97730324,CI3370BC4BD0E04A499E
97730606,CI28FE787C153C4564BA
97729179,CI717A532641F449A58B
97730233,CI4D949650257C4F7498
97730445,CI8602344C073547ABA2
86100022,CIEA9A59BF281A48549B
97730326,CI7FD3F14D5A0146FC9D
97730110,CI8B41D57B81B44ACBAD
97730234,CIE9F3BBAFC7234B9F89
97728634,CI6E4BA4A42F624E4F8E
97730451,CIA821643A05D54CA0BB
86100023,CIFC43A8CA060943FC99
97730111,CI410C86CEB73E417E90
97730331,CIB88127D81CD940709D
97730607,CI902B6E9819514336A3
97730608,CI7661643D0F9B41FA88
97728638,CIFC7E353D8EFF47CC86
97730238,CIBC7260CAD06047E6BE
97730452,CI62742803E583484A91
86100024,CIB564484500BB47EF94
97730112,CI1B7D9EBFD8D643889E
97730335,CID2D20ED264164C088D
97730615,CIF079B7503A9947DE8F
97728629,CI815DEBC78217453BAF
97730238,CI7E1C0FC13A7F4C02B3
97730460,CIFF94C6106CDB4B6099
86100025,CI056A5B5AF2A24606BC
97730114,CIF695974C8E7D404F89
97730336,CI745E086B2B774F9D8C
97730616,CI3B410835986B4208AE
97730002,CIC793D794973C43A696
97730243,CI679A25356A7A4A65A1
97730461,CI75204B16C68343FB99
86100026,CI34802C439F6A4016B0
97730337,CIF4FAB8663DC849EFB9
97730619,CI37431E8E151E470383
97730005,CIE1A202CD95154E3EAC
97730246,CIF87DA0111F454CE39A
97730462,CI56E281DDBAF64E0390
86100027,CIAFE03B52724A4C4F91
97730124,CI90ADED0D5BF5406C9B
97730339,CI3B1C6F3E45794087B3
97730125,CI9687DFA7A2F9439EB7
97730667,CI5129EA8650204E0FA1
97730022,CI123131CF3F9A4123AA
97730463,CI1D3C8EF9B55044BBA0
97730251,CI97AD5298D67A477491
86100028,CI003FC9FBE316499DB8
97730126,CI39213A310214473BB6
97730342,CIC953C6FD2F834C279F
97730668,CI542FF854B30A4601B4
97730030,CI7C110FC0DD97446280
97730266,CIB95E21BF93804E6E91
97730466,CI3DDCE86977914C9F81
86100029,CIE9E72E2A7C7340ED96
97730343,CID2EDD85BEE3B419492
97730127,CI94CCE94048074DCF9C
97730670,CI0876315E821A48C6A5
97730054,CIAB641792966947DEBA
97730268,CI6C156DCE95A14DEAB7
97730467,CIE0E826A5AA87499AB7
86100030,CIF88A28ECF4184AF7BA
