account,externalReferenceId
97730030,CI9ACAD964D1E24407B4
97730266,CI804C371674924E848D
97730466,CI6838BB4BDBFF4C72BE
86100029,CI12E73DA49E694518A4
97730054,CIE3B9C2F90217413BAB
97730268,CI1298695E570C4281AC
97730467,CI3BC99BC45DF043CF88
86100030,CID04ED0F6DE9F42DE88
97730670,CI9A4D85D7180B45D29B
97730343,CI9C37FA8CC5DB435495
97730127,CI9D4610F60359460BAC
97730129,CI4AE1069844634589A2
97730344,CIE2E785E2C0B349A6A9
86100001,CI08FFBEC814074308BD
97730057,CI2FB290935EC3430B8C
97730271,CI8295BE6B54344020BA
97730468,CIEFECAEE727C540A8B7
86100031,CI6A03E8DA5A7049BAB7
97730143,CIDCF05B40603A4EEAB4
97730345,CI09A55BABC476412B84
86100002,CI34E119D1AD9541E685
97730058,CIDD7A4414C6A241BCB7
97730274,CIF22DE39132BF453A87
97730470,CIF68946ADBF5247A098
86100032,CI17E740D1CE794F3F88
97730151,CIDDA647812EA44F47A8
97730346,CI38B82FD9682F4A8691
86100003,CI46F0E1D9E946457E86
97730059,CI893FB9D85CBE450789
97730277,CI48961C64445441C48C
97730475,CI0B58E37A23EF4EC5AA
86100033,CIDA57A7A92CB946D1B8
97730153,CI3D592DCFCC0D40FF8B
97730347,CIC0C1746DB43141DCA1
86100004,CI4ADDBDF20ECA4D26AB
97730060,CI506C102F676041AB86
97730283,CIECCF787C89C54D2AB2
97730476,CIC6DC519A6853427EBA
86100034,CI549E897FA5CA44E08E
97730158,CI064782DFF2B444D9A5
97730348,CI4990328820C04C59BF
86100005,CIE5AF20C306824E798E
97730062,CIB3C0E82729004EB1A9
97730285,CI76457967660744BA88
97730477,CIB9DEC8A9B0CB4521A3
97730162,CIB97383375EF94BDFA4
86100035,CI8C283C766EE64065BC
97730350,CIE90F1874E8744A21AB
86100006,CI7DCC5D273FEA4AFEB7
97730286,CIDDF3BD5178AA44BD9B
97730063,CI879260BDED684493AD
97730481,CIDFB4FC1ABA254465A8
86100036,CI78EF151F6ED943E9B5
97730167,CI64FB722C7CDA423693
97730353,CI428EF231CB7B472187
86100007,CI868477C8369C49CD9C
97730064,CIB267F2B4DF4646368C
97730287,CI10A9B3BE9EBD45808B
97730482,CI67B845355F0547F4A1
97662981,CI2CE43420973742E5A4
97730170,CI1E6FD72E8A154594B0
97730354,CI8FC27B95D67042D3A2
86100008,CI3A79CADA9F194D2DB1
97730067,CID6DA30271B9A48D9AE
97730484,CID17C3E310EE64F87A8
97730290,CI612D75362D704DC29D
97643309,CI68E9308E3A174C03A9
97730172,CIB3CFEA5E0744489B88
97730356,CIEF57C94890B74E6F96
97730069,CI06B84FEC36364953A6
86100009,CI59E357F61289469D8C
97730294,CIE67AFA24E843431AA6
97730487,CIB7A817C64EFB462BAF
97732048,CICB3828D45A1842D593
97730174,CIF3856340E2D14BC589
97730379,CI391328CDEB1C45F883
86100010,CI58777DB5A9684962B5
97730071,CI838C398BB1C84093AF
97730295,CIA536CB8788ED430187
97730488,CIBDDEB7F37F194E0891
97745795,CI29D916B9AF754F1490
97730174,CI27B54CB39A124503B9
97730396,CI15FEF9B328B0434FAF
86100011,CI42B9B87DD7374AE58B
97730075,CI6F0777BD12A14DA9B7
97730296,CI4E54F09DAAE84F259B
97730570,CI6028B7EE1E7346AA8A
38832157,CIEF33655E4EE646EFA3
97730402,CIAAE5A2CA6182429CA1
86100012,CI7F043AA2252A4517AB
97730177,CI7883C9D7B44F436296
97730076,CICACE72EAA0344B38BC
97730301,CI4F60FA0AA2C6400DB3
97730578,CI6D4B8E26AA72433DB4
97717286,CI863D8ABB28C047B280
97730179,CIDDA99C654A6C4723B9
97730403,CIF914224ED1FE435393
86100013,CI754C5728F7D148CB93
97730078,CI325B289271124950B9
97730305,CI8BC367BA5D8045AE9C
97730581,CI5289B2BD2FEE46D78E
97736044,CI971BEEC34F144F65B2
97730185,CI120FF11EFA6F4E9AA2
97730405,CIDCC34B7DFE814093AC
86100014,CIC7F6CA3E591D4932A0
97730083,CICD51D571024844A1B1
97730308,CI2303FED537324CDD96
97730582,CIE5B9AD6661874EC99A
97610919,CI0F2C9CFF47F540468E
97730187,CIC7E414F82D55478F9C
97730406,CI1CF54048D3DE483097
86100015,CI1E337E7B39BA4446A1
